state,x,y
Jammu and Kashmir,-65.0,237.0
Himachal Pradesh,-71.0,170.0
Punjab,-118.0,156.0
Haryana,-93.0,115.0
Uttar Pradesh,-58.0,108.0
Uttarakhand,-51.0,134.0
Arunachal Pradesh,215.0,124.0
Nagaland,211.0,80.0
Manipur,195.0,41.0
Mizoram,178.0,28.0
Tripura,159.0,32.0
Bihar,54.0,52.0
Jharkhand,56.0,9.0
Orissa,51.0,-47.0
West Bengal,101.0,-0.0
Rajasthan,-122.0,65.0
Gujarat,-166.0,11.0
Madhya Pradesh,-72.0,-11.0
Maharashtra,-111.0,-68.0
Tamil Nadu,-67.0,-217.0
Kerala,-102.0,-240.0
Karnataka,-102.0,-188.0
Andhra Pradesh,-59.0,-171.0
Delhi,-81.0,112.0
Assam,175.0 75.0
Meghalaya,155.0,55.0
Sikkim,105.0,87.0
Chhattisgarh,8.0,-28.0
Telangana,-56.0,-94.0





